2025-10-18T14:32:07.685-07:00  INFO 837037 --- [main] c.m.i.EntryFlowIntegrationTest           : Starting EntryFlowIntegrationTest using Java 21.0.8 with PID 837037 (started by ben in /home/ben/Documents/todolistapp/backend)
2025-10-18T14:32:07.689-07:00 DEBUG 837037 --- [main] c.m.i.EntryFlowIntegrationTest           : Running with Spring Boot v3.4.0, Spring v6.2.0
2025-10-18T14:32:07.689-07:00  INFO 837037 --- [main] c.m.i.EntryFlowIntegrationTest           : The following 1 profile is active: "dev"
2025-10-18T14:32:07.697-07:00 DEBUG 837037 --- [main] o.s.w.c.s.GenericWebApplicationContext   : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6a969fb8
2025-10-18T14:32:08.198-07:00  INFO 837037 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-10-18T14:32:08.231-07:00  INFO 837037 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 26 ms. Found 4 JPA repository interfaces.
2025-10-18T14:32:08.608-07:00  INFO 837037 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-10-18T14:32:08.639-07:00  INFO 837037 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.6.2.Final
2025-10-18T14:32:08.654-07:00  INFO 837037 --- [main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2025-10-18T14:32:08.684-07:00 DEBUG 837037 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@2a65e237
2025-10-18T14:32:08.685-07:00 DEBUG 837037 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@2a65e237
2025-10-18T14:32:08.685-07:00 DEBUG 837037 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@2a65e237
2025-10-18T14:32:08.685-07:00 DEBUG 837037 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@3a48c398
